"Date","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
2015-06-26,66.55,67.79,66.51,67.37,635523,0,1,66.55,67.79,66.51,67.37,635523
2015-06-25,62.92,66.98,62.37,66.41,1857220,0,1,62.92,66.98,62.37,66.41,1857220
2015-06-24,62.66,62.965,62.355,62.54,693714,0,1,62.66,62.965,62.355,62.54,693714
2015-06-23,63.29,63.65,62.47,62.67,474521,0,1,63.29,63.65,62.47,62.67,474521
2015-06-22,62.34,62.79,62.03,62.22,346246,0,1,62.34,62.79,62.03,62.22,346246
2015-06-19,61.24,62.17,60.82,61.75,883026,0,1,61.24,62.17,60.82,61.75,883026
2015-06-18,60.75,61.42,60.64,61.14,547862,0,1,60.75,61.42,60.64,61.14,547862
2015-06-17,60.01,60.86,60.01,60.57,511806,0,1,60.01,60.86,60.01,60.57,511806
2015-06-16,58.28,59.67,58.28,59.66,403987,0,1,58.28,59.67,58.28,59.66,403987
2015-06-15,58.11,58.34,57.34,58.22,282844,0,1,58.11,58.34,57.34,58.22,282844
2015-06-12,59.07,59.11,58.5,58.67,230848,0,1,59.07,59.11,58.5,58.67,230848
2015-06-11,58.33,59.32,58.33,59.13,468867,0,1,58.33,59.32,58.33,59.13,468867
2015-06-10,58.45,58.54,58.17,58.33,316385,0,1,58.45,58.54,58.17,58.33,316385
2015-06-09,58.13,58.3,57.62,58.21,212416,0,1,58.13,58.3,57.62,58.21,212416
2015-06-08,58.37,58.74,58.04,58.06,169135,0,1,58.37,58.74,58.04,58.06,169135
2015-06-05,58.37,58.42,57.51,58.32,335489,0,1,58.37,58.42,57.51,58.32,335489
2015-06-04,58.65,59.29,58.325,58.98,325670,0,1,58.65,59.29,58.325,58.98,325670
2015-06-03,58.92,59.2,58.67,59.1,231584,0,1,58.92,59.2,58.67,59.1,231584
2015-06-02,58.86,59.31,58.252,58.86,319650,0,1,58.86,59.31,58.252,58.86,319650
2015-06-01,59.01,59.64,58.29,59.18,488996,0,1,59.01,59.64,58.29,59.18,488996
2015-05-29,58.87,59.25,58.34,58.48,258008,0,1,58.87,59.25,58.34,58.48,258008
2015-05-28,59.23,59.28,58.56,59.08,329379,0,1,59.23,59.28,58.56,59.08,329379
2015-05-27,59.14,59.52,58.9,59.26,461450,0,1,59.14,59.52,58.9,59.26,461450
2015-05-26,60.09,60.53,58.98,59.04,325999,0,1,60.09,60.53,58.98,59.04,325999
2015-05-22,61.31,61.31,60.18,60.53,353608,0,1,61.31,61.31,60.18,60.53,353608
2015-05-21,60.8,61.37,60.42,61.35,403950,0,1,60.8,61.37,60.42,61.35,403950
2015-05-20,60.42,60.95,60,60.76,395451,0,1,60.42,60.95,60,60.76,395451
2015-05-19,59.65,60.44,59.49,60.3,395488,0,1,59.65,60.44,59.49,60.3,395488
2015-05-18,59.03,59.98,59.01,59.87,378972,0,1,59.03,59.98,59.01,59.87,378972
2015-05-15,58.89,59.14,58.21,59.11,284947,0,1,58.89,59.14,58.21,59.11,284947
2015-05-14,58.25,58.79,57.925,58.77,211702,0,1,58.25,58.79,57.925,58.77,211702
2015-05-13,58.56,59.05,58.08,58.21,270268,0,1,58.56,59.05,58.08,58.21,270268
2015-05-12,59,59.1,58.41,58.57,380000,0,1,59,59.1,58.41,58.57,380000
2015-05-11,58.39,59.37,58.17,59.02,459891,0,1,58.39,59.37,58.17,59.02,459891
2015-05-08,58.46,59.01,58.24,58.6,465477,0,1,58.46,59.01,58.24,58.6,465477
2015-05-07,58.26,58.385,57.76,58.25,513130,0,1,58.26,58.385,57.76,58.25,513130
2015-05-06,63.11,63.11,57.7,58.4,1104599,0,1,63.11,63.11,57.7,58.4,1104599
2015-05-05,59.47,60.22,58.8,58.87,579558,0,1,59.47,60.22,58.8,58.87,579558
2015-05-04,59.17,60.26,58.9,59.87,383050,0,1,59.17,60.26,58.9,59.87,383050
2015-05-01,59.45,60.575,58.99,59.05,686442,0,1,59.45,60.575,58.99,59.05,686442
2015-04-30,61.19,61.2,59.31,59.57,578813,0,1,61.19,61.2,59.31,59.57,578813
2015-04-29,62.05,62.11,61.07,61.48,237524,0,1,62.05,62.11,61.07,61.48,237524
2015-04-28,61.87,62.34,61.03,62.18,440648,0,1,61.87,62.34,61.03,62.18,440648
2015-04-27,62.47,63.08,61.75,61.89,502846,0,1,62.47,63.08,61.75,61.89,502846
2015-04-24,62.7,62.83,62.34,62.71,273301,0,1,62.7,62.83,62.34,62.71,273301
2015-04-23,62.63,62.89,62.21,62.63,393329,0,1,62.63,62.89,62.21,62.63,393329
2015-04-22,63.13,63.22,62.395,62.91,178090,0,1,63.13,63.22,62.395,62.91,178090
2015-04-21,63.6,63.72,63,63.25,388097,0,1,63.6,63.72,63,63.25,388097
